"","ACCIDENT_NO","LONGITUDE","LATITUDE"
"39671","T20170006219",144.90676052,-37.53578068
"10216","T20150008139",145.49144999,-37.93582
"60540","T20180020560",145.31846811,-38.15993973
"26116","T20160005548",145.48834868,-38.05467441
"25073","T20160005064",146.62896349,-36.4781451
"20203","T20150022373",144.88262634,-37.81740212
"68759","T20140025331",144.60886823,-36.82118004
"22344","T20150027035",145.14793334,-38.14045569
"59057","T20180016012",145.07609332,-37.65052626
"64012","T20190000929",145.34750118,-37.81495671
"40644","T20170014637",144.9751688,-37.79630619
"73831","T20170008293",145.00130254,-37.91277802
"27305","T20160014304",141.29996794,-37.97946238
"76883","T20190003432",146.31074511,-36.35044365
"54557","T20180019431",144.96826498,-37.76146446
"45517","T20170016702",146.05889568,-38.20297898
"71319","T20160003537",145.22975739,-37.76715947
"46756","T20140021215",145.11930041,-37.76393792
"59740","T20180016703",142.15845204,-34.19042484
"12798","T20150011792",145.12975097,-37.8961626
"73999","T20170010785",145.56584251,-37.99731395
"32255","T20160024605",145.11439727,-37.90638352
"56518","T20180020641",143.58446019,-38.33979444
"35481","T20160022633",144.95774361,-37.82882824
"61835","T20190011117",145.08815824,-37.86443657
"63612","T20190004165",145.1556357,-37.93460357
"11645","T20150006712",144.74376284,-37.76085018
"20488","T20150025946",146.71085057,-37.45242178
"52349","T20180006668",145.06768428,-37.68705404
"49423","T20180007534",146.19908134,-38.36752816
"57970","T20180013498",145.1419085,-37.80161907
"37281","T20170000992",145.29854266,-38.06811553
"67221","T20190009691",146.70582297,-36.55228904
"53413","T20170017740",143.82309606,-37.53401676
"15809","T20150016446",145.14092215,-37.80741311
"71313","T20160003503",144.91939641,-37.68234373
"58175","T20180023989",145.23836108,-37.97272624
"48182","T20170019965",142.18649222,-36.71172547
"20376","T20160000005",145.01360392,-37.74640928
"56038","T20170022161",144.33722257,-38.08155248
"30723","T20160012971",145.01440859,-37.7312496
"3013","T20140020199",146.81506097,-36.56273918
"65281","T20190008380",143.30530387,-38.32925313
"14976","T20150013640",144.34019958,-38.13890733
"65922","T20180019395",146.03133295,-37.13502907
"19735","T20150022509",144.8210439,-37.82617079
"76383","T20180020550",145.19126095,-37.63747668
"3653","T20140020859",142.15040667,-34.20347918
"14420","T20150015984",144.97894,-37.77863999
"34242","T20160020055",144.8166315,-37.73139316
"72232","T20160014825",145.88026599,-38.52997699
"1481","T20140016966",-1,-1
"35104","T20160025648",141.58523896,-38.28551649
"21715","T20160000373",145.16604399,-37.91820985
"713","T20140014854",145.0809,-37.87962999
"58969","T20180019409",144.46862434,-37.60892878
"54615","T20180009049",145.17529844,-37.85550349
"20281","T20150025492",145.66752127,-37.83989595
"45863","T20170014683",145.02141654,-37.65179225
"35050","T20160025551",144.98811546,-37.86967528
"5106","T20140023235",-1,-37.8869575
"69609","T20150009062",144.88946733,-37.7911802
"36151","T20170005179",144.95209263,-37.64738872
"46820","T20140021511",144.88874989,-37.86140175
